김완 초상,http://encykorea.aks.ac.kr/Contents/Item/E0009924,초상화
김이안 영정,http://encykorea.aks.ac.kr/Contents/Item/E0010194,초상화
김재로 영정,http://encykorea.aks.ac.kr/Contents/Item/E0010334,초상화
김정희 영정,http://encykorea.aks.ac.kr/Contents/Item/E0010432,초상화
김중만 초상,http://encykorea.aks.ac.kr/Contents/Item/E0010574,초상화
서총대친림연회도,http://encykorea.aks.ac.kr/Contents/Item/E0028237,기록화
남계박세채영정,http://encykorea.aks.ac.kr/Contents/Item/E0011776,초상화
수계도,http://encykorea.aks.ac.kr/Contents/Item/E0031212,기록화
조대비 사순칭경진하도 병풍,http://encykorea.aks.ac.kr/Contents/Item/E0051659,기록화
헌종 가례진하도 병풍,http://encykorea.aks.ac.kr/Contents/Item/E0063231,기록화
화성행행도,http://encykorea.aks.ac.kr/Contents/Item/E0064691,기록화
효종어전희우시회인물도,http://encykorea.aks.ac.kr/Contents/Item/E0065709,기록화
화성행행도팔첩병,http://encykorea.aks.ac.kr/Contents/Item/E0069526,기록화
왕세자탄강진하도 병풍 ,http://encykorea.aks.ac.kr/Contents/Item/E0069529,기록화
농암이현보선생유물,http://encykorea.aks.ac.kr/Contents/Item/E0013143,초상화
이현보 초상,http://encykorea.aks.ac.kr/Contents/Item/E0013144,초상화
영조을유기로연·경현당수작연도병,http://encykorea.aks.ac.kr/Contents/Item/E0069544,기록화
숙빈최씨소령원도,http://encykorea.aks.ac.kr/Contents/Item/E0069545,기록화
예안김씨가전계회도일괄,http://encykorea.aks.ac.kr/Contents/Item/E0069558,기록화
순천 선암사 대각국사 의천 진영,http://encykorea.aks.ac.kr/Contents/Item/E0013978,불화/초상화
대방광불화엄경변상도,http://encykorea.aks.ac.kr/Contents/Item/E0014383,불화/변상도
갑인춘 친정도,http://encykorea.aks.ac.kr/Contents/Item/E0073040,기록화
신축진연도병,http://encykorea.aks.ac.kr/Contents/Item/E0073204,기록화
칠태부인경수연도,http://encykorea.aks.ac.kr/Contents/Item/E0075634,기록화
